OCCUR_DATE,Incident Count,,Occur_Date,Incident Count,,New Years,,Memorial Day,,Thanksgiving,,Black Friday,,Christmas ,,,,,,,
07-03-2011,1,,,,,,,,,,,,,,,,,,,,
07-03-2011,1,,,,,,,,,,,,,,,,,,,,
07-03-2011,1,,,,,,,,,,,,,,,,,,,,
07-03-2011,1,,,,,,,,,,,,,,,,,,,,
07-03-2011,1,,,,,,,,,,,,,,,,,,,,
07-03-2011,1,,,,,,,,,,,,,,,,,,,,
07-03-2011,1,,,,,,,,,,,,,,,,,,,,
07-03-2010,1,,,,,,,,,,,,,,,,,,,,
07-03-2010,1,,,,,,,,,,,,,,,,,,,,
07-03-2010,1,,,,,,,,,,,,,,,,,,,,
07-03-2010,1,,,,,,,,,,,,,,,,,,,,
07-03-2010,1,,,,,,,,,,,,,,,,,,,,
07-03-2010,1,,,,,,,,,,,,,,,,,,,,
07-03-2009,1,,,,,,,,,,,,,,,,,,,,
07-03-2009,1,,,,,,,,,,,,,,,,,,,,
07-03-2009,1,,,,,,,,,,,,,,,,,,,,
07-03-2009,1,,,,,,,,,,,,,,,,,,,,
07-03-2009,1,,,,,,,,,,,,,,,,,,,,
07-03-2008,1,,,,,,,,,,,,,,,,,,,,
07-03-2008,1,,,,,,,,,,,,,,,,,,,,
07-03-2008,1,,,,,,,,,,,,,,,,,,,,
07-03-2008,1,,,,,,,,,,,,,,,,,,,,
07-03-2007,1,,,,,,,,,,,,,,,,,,,,
07-03-2007,1,,,,,,,,,,,,,,,,,,,,
07-03-2007,1,,,,,,,,,,,,,,,,,,,,
07-03-2007,1,,,,,,,,,,,,,,,,,,,,
07-03-2007,1,,,,,,,,,,,,,,,,,,,,
07-03-2007,1,,,,,,,,,,,,,,,,,,,,
07-03-2007,1,,,,,,,,,,,,,,,,,,,,
07-03-2007,1,,,,,,,,,,,,,,,,,,,,
07-03-2006,1,,,,,,,,,,,,,,,,,,,,
07-03-2006,1,,,,,,,,,,,,,,,,,,,,
07-03-2006,1,,,,,,,,,,,,,,,,,,,,
07-03-2006,1,,,,,,,,,,,,,,,,,,,,
07-03-2006,1,,,,,,,,,,,,,,,,,,,,
07-29-2017,1,,,,,,,,,,,,,,,,,,,,
07-29-2017,1,,,,,,,,,,,,,,,,,,,,
07-29-2017,1,,,,,,,,,,,,,,,,,,,,
07-29-2016,1,,,,,,,,,,,,,,,,,,,,
07-29-2015,1,,,,,,,,,,,,,,,,,,,,
07-29-2015,1,,,,,,,,,,,,,,,,,,,,
07-29-2015,1,,,,,,,,,,,,,,,,,,,,
07-29-2014,1,,,,,,,,,,,,,,,,,,,,
07-29-2014,1,,,,,,,,,,,,,,,,,,,,
07-29-2014,1,,,,,,,,,,,,,,,,,,,,
07-29-2013,1,,,,,,,,,,,,,,,,,,,,
07-29-2013,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2012,1,,,,,,,,,,,,,,,,,,,,
07-29-2011,1,,,,,,,,,,,,,,,,,,,,
07-29-2011,1,,,,,,,,,,,,,,,,,,,,
07-29-2011,1,,,,,,,,,,,,,,,,,,,,
07-29-2011,1,,,,,,,,,,,,,,,,,,,,
07-29-2011,1,,,,,,,,,,,,,,,,,,,,
07-29-2010,1,,,,,,,,,,,,,,,,,,,,
07-29-2010,1,,,,,,,,,,,,,,,,,,,,
07-29-2010,1,,,,,,,,,,,,,,,,,,,,
07-29-2010,1,,,,,,,,,,,,,,,,,,,,
07-29-2010,1,,,,,,,,,,,,,,,,,,,,
07-29-2010,1,,,,,,,,,,,,,,,,,,,,
07-29-2009,1,,,,,,,,,,,,,,,,,,,,
07-29-2009,1,,,,,,,,,,,,,,,,,,,,
07-29-2009,1,,,,,,,,,,,,,,,,,,,,
07-29-2009,1,,,,,,,,,,,,,,,,,,,,
07-29-2009,1,,,,,,,,,,,,,,,,,,,,
